   k      CO     H2O     TiO    
  1  -3.706  -3.858  -8.249
  2  -3.706  -3.858  -8.169
  3  -3.706  -3.858  -8.089
  4  -3.706  -3.858  -8.011
  5  -3.706  -3.858  -7.934
  6  -3.706  -3.858  -7.861
  7  -3.708  -3.860  -7.795
  8  -3.706  -3.858  -7.728
  9  -3.706  -3.858  -7.666
 10  -3.706  -3.858  -7.609
 11  -3.706  -3.858  -7.557
 12  -3.706  -3.859  -7.510
 13  -3.706  -3.859  -7.467
 14  -3.706  -3.859  -7.429
 15  -3.706  -3.859  -7.395
 16  -3.706  -3.859  -7.365
 17  -3.706  -3.859  -7.339
 18  -3.706  -3.859  -7.316
 19  -3.706  -3.859  -7.297
 20  -3.706  -3.860  -7.280
 21  -3.706  -3.860  -7.266
 22  -3.706  -3.860  -7.254
 23  -3.706  -3.860  -7.244
 24  -3.706  -3.860  -7.236
 25  -3.706  -3.860  -7.229
 26  -3.706  -3.860  -7.224
 27  -3.706  -3.860  -7.220
