H-         -0.79015E+02    0.22776E+02    0.17031E+02   -0.24351E+01    0.14863E+00     2     Burrows 99
H2         -0.43531E+03    0.94254E+02    0.11833E+02   -0.21235E+01    0.14000E+00     2     Burrows 99
H2O        -0.92710E+03    0.19682E+03    0.22617E+02   -0.42069E+01    0.28512E+00     3     Burrows 99
OH         -0.42686E+03    0.87031E+02    0.12051E+02   -0.21797E+01    0.14644E+00     2       Tsuji 73
CH         -0.34095E+03    0.88377E+02    0.96067E+01   -0.19293E+01    0.13442E+00     2     Burrows 99
CO         -0.10849E+04    0.13615E+03    0.11314E+01   -0.26353E-01    0.40011E-06     2     Burrows 99
CN         -0.75345E+03    0.10473E+03    0.10789E+02   -0.21571E+01    0.14863E+00     2     Burrows 99
C2         -0.59468E+03    0.11238E+03    0.57953E+01   -0.11224E+01    0.74651E-01     2     Burrows 99
N2         -0.94535E+03    0.11280E+03    0.96609E+01   -0.17813E+01    0.12513E+00     2     Burrows 99
O2         -0.49875E+03    0.11648E+03    0.81777E+01   -0.15377E+01    0.10443E+00     2     Burrows 99
NO         -0.63198E+03    0.10285E+03    0.83043E+01   -0.15094E+01    0.10487E+00     2     Burrows 99
HN         -0.31378E+03    0.83348E+02    0.10936E+02   -0.20057E+01    0.13535E+00     2     Burrows 99
C2H2       -0.16450E+04    0.34725E+03    0.18309E+02   -0.38330E+01    0.26716E+00     4     Burrows 99
CHN        -0.12735E+04    0.22462E+03    0.14200E+02   -0.28274E+01    0.19818E+00     3     Burrows 99
C2H        -0.11750E+04    0.22219E+03    0.14637E+02   -0.30011E+01    0.20784E+00     3     Burrows 99
HS         -0.35773E+03    0.87021E+02    0.99346E+01   -0.23487E+01    0.23226E+00     2     Burrows 99
HSi        -0.29287E+03    0.85208E+02    0.73993E+01   -0.12461E+01    0.80780E-01     2     Burrows 99
C3         -0.13306E+04    0.23408E+03    0.18416E+02   -0.33620E+01    0.22703E+00     3     Burrows 99
CS         -0.71452E+03    0.11668E+03    0.68205E+01   -0.12408E+01    0.83705E-01     2     Burrows 99
