 
 Stellar Parameters:
 ==================
 Teff =  2500.00  logg =  4.50  mixLengthPara =  2.00  OvershotPara =  2.20
  13 deep element abundances
           1 H    1.00000000000000     
           6 C   2.454708915685033E-004
           7 N   6.025595860743581E-005
           8 O   4.570881896148752E-004
          11 Na  1.479108388168207E-006
          12 Mg  3.388441561392028E-005
          13 Al  2.344228815319923E-006
          14 Si  3.235936569296281E-005
          16 S   1.380384264602884E-005
          19 K   1.202264434617413E-007
          20 Ca  2.041737944669527E-006
          22 Ti  7.943282347242822E-008
          26 Fe  2.818382931264455E-005
 
 Dust Parameters:
 ===============
 Nl =  1000  Vl =    3.136480E-20  Abschluss =  8
   1 nucleation species
 TiO2    
   7 dust species
 TiO2[s]   
 Mg2SiO4[s]
 SiO2[s]   
 Fe[s]     
 Al2O3[s]  
 MgO[s]    
 MgSiO3[s] 
   6 affected elements
          12 Mg
          14 Si
          22 Ti
           8 O 
          26 Fe
          13 Al
 
                   R                   T                 rho                   p                  L0                  L1                  L2                  L3     Vol%_TiO2[s]        Vol%_Mg2SiO4[s]     Vol%_SiO2[s]        Vol%_Fe[s]          Vol%_Al2O3[s]       Vol%_MgO[s]         Vol%_MgSiO3[s]               eps_Mg              eps_Si              eps_Ti              eps_O               eps_Fe              eps_Al
  2.059142199959E+10  1.135237000048E+03  2.743486872283E-13  1.109097090951E-02  6.316720379296E-12  1.992075658224E-18  6.282319288815E-25  1.981226741247E-31  9.999999998614E-01  4.183117711846E-11  2.873261576277E-11  7.004305520562E-12  1.006562064229E-12  2.013884564924E-11  3.985596236107E-11  3.388441561391E-05  3.235936569295E-05  2.351522968799E-09  4.569340270138E-04  2.818382931264E-05  2.344228815320E-06
  2.059142199877E+10  1.135237000143E+03  2.743487816851E-13  1.109097472852E-02  1.895017164785E-11  5.976230289744E-18  1.884696832290E-24  5.943683521850E-31  9.999999995843E-01  1.254935914811E-10  8.619788806870E-11  2.101292651955E-11  3.019687649279E-12  6.041656556298E-11  1.195679436639E-10  3.388441561388E-05  3.235936569293E-05  2.351522393956E-09  4.569340270126E-04  2.818382931264E-05  2.344228815319E-06
  2.059142199795E+10  1.135237000239E+03  2.743488766985E-13  1.109097857004E-02  3.165807923742E-11  9.983865876610E-18  3.148566819061E-24  9.929493381146E-31  9.999999993055E-01  2.096490241342E-10  1.440017996179E-10  3.510409946424E-11  5.044676491655E-12  1.009316395888E-10  1.997496626899E-10  3.388441561385E-05  3.235936569291E-05  2.351521815725E-09  4.569340270114E-04  2.818382931263E-05  2.344228815319E-06
  2.059142199630E+10  1.135237000430E+03  2.743490667258E-13  1.109098625310E-02  5.707393695374E-11  1.799915046733E-17  5.676311024563E-24  1.790112644811E-30  9.999999987480E-01  3.779600299306E-10  2.596097172672E-10  6.328646846722E-11  9.094657593856E-12  1.819618540236E-10  3.601132319549E-10  3.388441561379E-05  3.235936569287E-05  2.351520659261E-09  4.569340270089E-04  2.818382931262E-05  2.344228815318E-06
  2.059142199301E+10  1.135237000814E+03  2.743494467800E-13  1.109100161920E-02  1.079058225341E-10  3.402977331644E-17  1.073181636332E-23  3.384444597519E-30  9.999999976329E-01  7.145826078580E-10  4.908259337650E-10  1.196512996581E-10  1.719463357345E-11  3.440225505263E-10  6.808408994935E-10  3.388441561367E-05  3.235936569279E-05  2.351518346341E-09  4.569340270040E-04  2.818382931260E-05  2.344228815316E-06
  2.059142198643E+10  1.135237001580E+03  2.743502068899E-13  1.109103235146E-02  2.095702742901E-10  6.609123368667E-17  2.084289475224E-23  6.573129860337E-30  9.999999954027E-01  1.387830028605E-09  9.532598912452E-10  2.323813347038E-10  3.339464062276E-11  6.681450138460E-10  1.322298350171E-09  3.388441561344E-05  3.235936569263E-05  2.351513720508E-09  4.569340269942E-04  2.818382931255E-05  2.344228815312E-06
  2.059142197326E+10  1.135237003114E+03  2.743517271171E-13  1.109109381628E-02  4.129019002120E-10  1.302150131243E-16  4.106532237866E-23  1.295058581649E-29  9.999999909423E-01  2.734333931502E-09  1.878133905397E-09  4.578428957558E-10  6.579487512611E-11  1.316394222622E-09  2.605221715666E-09  3.388441561297E-05  3.235936569230E-05  2.351504468865E-09  4.569340269746E-04  2.818382931246E-05  2.344228815305E-06
  2.059142194692E+10  1.135237006180E+03  2.743547675957E-13  1.109121674691E-02  8.195760419219E-10  2.584660068597E-16  8.151126104824E-23  2.570583945795E-29  9.999999820213E-01  5.427377833910E-09  3.727906228120E-09  9.087719567527E-10  1.305962221665E-10  2.612909696982E-09  5.171102161245E-09  3.388441561204E-05  3.235936569165E-05  2.351485965701E-09  4.569340269353E-04  2.818382931227E-05  2.344228815290E-06
  2.059142189425E+10  1.135237012314E+03  2.743608486544E-13  1.109146261227E-02  1.632967886612E-09  5.149817343407E-16  1.624074722343E-22  5.121771371426E-29  9.999999641790E-01  1.081361100769E-08  7.427548725995E-09  1.810653998811E-09  2.602024520247E-10  5.206009345887E-09  1.030299884674E-08  3.388441561018E-05  3.235936569034E-05  2.351448959832E-09  4.569340268568E-04  2.818382931190E-05  2.344228815261E-06
  2.059142178890E+10  1.135237024581E+03  2.743730111758E-13  1.109195435933E-02  3.259925835582E-09  1.028068153920E-15  3.242172314377E-22  1.022469305758E-28  9.999999284924E-01  2.158665723970E-08  1.482722403766E-08  3.614513496567E-09  5.194290165639E-10  1.039248267782E-08  2.056733387785E-08  3.388441560645E-05  3.235936568772E-05  2.351374949948E-09  4.569340266997E-04  2.818382931116E-05  2.344228815202E-06
